iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
149,random_sample,23,0.077077,-0.049303,1.112597,0.206380,0.063645,1.722037,0.206380,0.063645,2.769235,0.206380,0.063645,2.769235,0,duplicate_candidate
150,random_sample,53,0.804885,1.800120,0.891314,0.893216,1.488540,0.674839,0.893216,1.488540,1.722037,0.844422,1.808702,1.722037,0,translation_collision
151,random_sample,57,0.734799,1.423469,-2.112787,0.663695,1.173640,-1.329696,0.663695,1.173640,-0.282498,0.913150,1.101233,-0.282498,1,accepted
152,random_sample,62,1.012881,0.632558,-0.011276,0.913150,1.101233,-0.282498,0.913150,1.101233,-1.329696,1.027561,0.635924,-1.329696,0,translation_collision
153,random_sample,16,0.713773,1.128044,1.954580,0.805299,1.036291,1.722037,0.805299,1.036291,1.722037,0.805299,1.036291,1.722037,0,zero_motion
154,random_sample,52,0.911006,-0.374343,-2.956014,0.610979,-0.228338,-2.466753,0.610979,-0.228338,-1.419556,0.661251,-0.558196,-1.419556,0,translation_collision
155,lateral_motion,61,nan,nan,nan,0.206380,0.063645,2.769235,0.206380,0.063645,2.769235,0.380581,0.509653,2.769235,1,accepted
156,lateral_motion,52,nan,nan,nan,0.610979,-0.228338,-2.466753,0.610979,-0.228338,-2.466753,0.874690,-0.557910,-2.466753,0,lateral_segment_collision
157,random_sample,55,1.237291,0.855714,2.672648,1.201024,1.096601,2.769235,1.201024,1.096601,-2.466753,1.201024,1.096601,-2.466753,0,duplicate_candidate
158,random_sample,46,0.424668,0.918055,1.694755,0.413887,1.064880,1.722037,0.413887,1.064880,2.769235,0.413887,1.064880,2.769235,0,duplicate_candidate
159,random_sample,49,0.173219,1.833671,-1.789512,0.384982,1.254540,-1.329696,0.384982,1.254540,-2.376894,0.024186,0.908380,-2.376894,0,translation_collision
160,random_sample,49,0.272983,1.283489,-0.918596,0.384982,1.254540,-1.329696,0.384982,1.254540,-2.376894,0.384982,1.254540,-2.376894,0,duplicate_candidate
161,random_sample,23,0.229226,-0.087795,2.195789,0.206380,0.063645,1.722037,0.206380,0.063645,2.769235,0.206380,0.063645,2.769235,0,duplicate_candidate
162,lateral_motion,39,nan,nan,nan,0.507266,0.452172,-1.419556,0.507266,0.452172,-1.419556,0.971655,0.522947,-1.419556,0,lateral_segment_collision
163,random_sample,56,1.088573,1.366895,2.966341,0.918154,1.207084,2.769235,0.918154,1.207084,1.722037,0.918154,1.207084,1.722037,0,duplicate_candidate
164,random_sample,51,0.370250,1.593296,1.348268,0.309649,1.748832,1.722037,0.309649,1.748832,0.674839,0.309649,1.748832,0.674839,0,duplicate_candidate
165,random_sample,46,0.259208,1.099872,2.041145,0.413887,1.064880,1.722037,0.413887,1.064880,2.769235,0.413887,1.064880,2.769235,0,duplicate_candidate
166,random_sample,65,-0.085659,0.986468,2.649440,0.413887,1.064880,2.769235,0.413887,1.064880,2.769235,-0.051849,1.246786,2.769235,0,translation_collision
167,random_sample,0,0.556111,-0.157845,0.859732,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0,zero_motion
168,random_sample,56,1.200515,1.976579,2.563067,0.918154,1.207084,2.769235,0.918154,1.207084,1.722037,0.842821,1.701377,1.722037,1,accepted
169,random_sample,49,-0.188973,1.393488,-1.350968,0.384982,1.254540,-1.329696,0.384982,1.254540,-2.376894,0.024186,0.908380,-2.376894,0,translation_collision
170,random_sample,47,0.772803,1.102112,2.920097,0.805299,1.036291,2.769235,0.805299,1.036291,2.769235,0.805299,1.036291,2.769235,0,zero_motion
